!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 1   10/ 7/19
!  WCM     P33  pE   P33  pM   P13  pE   P13  pM   P13  nE   P13  nM
 1890.0   -0.8232    1.6594    0.4628   -0.0862   -0.6358    0.8070           0.1779    0.8148    0.6763   -0.0927   -0.0193   -0.3966
 1895.0   -0.8100    1.6731    0.4555   -0.0845   -0.6335    0.7890           0.1756    0.8112    0.6687   -0.0950   -0.0179   -0.3947
 1900.0   -0.7969    1.6867    0.4491   -0.0833   -0.6312    0.7710           0.1733    0.8077    0.6610   -0.0971   -0.0165   -0.3928
 1905.0   -0.7838    1.7000    0.4424   -0.0823   -0.6286    0.7531           0.1711    0.8043    0.6536   -0.0991   -0.0152   -0.3911
 1910.0   -0.7708    1.7131    0.4364   -0.0819   -0.6259    0.7350           0.1690    0.8011    0.6458   -0.1010   -0.0139   -0.3891
 1915.0   -0.7579    1.7259    0.4308   -0.0818   -0.6229    0.7167           0.1669    0.7981    0.6383   -0.1029   -0.0126   -0.3874
 1920.0   -0.7452    1.7384    0.4253   -0.0822   -0.6197    0.6985           0.1649    0.7952    0.6304   -0.1045   -0.0114   -0.3854
 1925.0   -0.7325    1.7505    0.4200   -0.0830   -0.6163    0.6805           0.1630    0.7925    0.6228   -0.1062   -0.0102   -0.3837
 1930.0   -0.7200    1.7624    0.4146   -0.0843   -0.6125    0.6624           0.1611    0.7898    0.6152   -0.1077   -0.0090   -0.3819
 1935.0   -0.7076    1.7739    0.4098   -0.0859   -0.6085    0.6442           0.1593    0.7873    0.6074   -0.1091   -0.0079   -0.3800
 1940.0   -0.6953    1.7850    0.4053   -0.0880   -0.6042    0.6259           0.1576    0.7848    0.5997   -0.1105   -0.0068   -0.3784
 1945.0   -0.6832    1.7958    0.4008   -0.0906   -0.5996    0.6077           0.1559    0.7825    0.5919   -0.1117   -0.0058   -0.3765
 1950.0   -0.6712    1.8063    0.3964   -0.0936   -0.5946    0.5895           0.1542    0.7802    0.5840   -0.1128   -0.0048   -0.3747
 1955.0   -0.6594    1.8163    0.3921   -0.0970   -0.5893    0.5713           0.1526    0.7780    0.5761   -0.1138   -0.0038   -0.3730
 1960.0   -0.6477    1.8260    0.3881   -0.1010   -0.5837    0.5531           0.1510    0.7758    0.5683   -0.1148   -0.0028   -0.3713
 1965.0   -0.6362    1.8354    0.3839   -0.1053   -0.5776    0.5349           0.1495    0.7737    0.5604   -0.1157   -0.0019   -0.3696
 1970.0   -0.6249    1.8444    0.3803   -0.1102   -0.5712    0.5166           0.1480    0.7717    0.5526   -0.1166   -0.0010   -0.3680
 1975.0   -0.6137    1.8530    0.3761   -0.1154   -0.5642    0.4985           0.1466    0.7696    0.5445   -0.1173   -0.0002   -0.3663
 1980.0   -0.6028    1.8614    0.3722   -0.1212   -0.5570    0.4804           0.1452    0.7676    0.5365   -0.1180    0.0006   -0.3646
 1985.0   -0.5920    1.8694    0.3686   -0.1274   -0.5491    0.4620           0.1438    0.7655    0.5285   -0.1186    0.0014   -0.3631
 1990.0   -0.5814    1.8771    0.3647   -0.1340   -0.5409    0.4440           0.1424    0.7635    0.5203   -0.1191    0.0021   -0.3614
 1995.0   -0.5710    1.8845    0.3608   -0.1411   -0.5321    0.4259           0.1411    0.7614    0.5121   -0.1195    0.0028   -0.3597
 2000.0   -0.5608    1.8916    0.3568   -0.1488   -0.5228    0.4079           0.1398    0.7593    0.5039   -0.1199    0.0035   -0.3582
 2005.0   -0.5508    1.8985    0.3531   -0.1570   -0.5130    0.3897           0.1385    0.7572    0.4958   -0.1202    0.0041   -0.3567
 2010.0   -0.5410    1.9051    0.3490   -0.1655   -0.5026    0.3717           0.1372    0.7550    0.4874   -0.1205    0.0047   -0.3552
