!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 2   10/ 7/19
!  WCM     D35  pE   D35  pM   D15  pE   D15  pM   D15  nE   D15  nM
 1675.0   -0.6265    0.0253    0.2768   -0.2532   -0.2654    0.0109           0.0430   -0.0008    0.0035    0.4273   -0.0481   -1.6054
 1680.0   -0.6205    0.0272    0.2782   -0.2793   -0.2639    0.1220           0.0432   -0.0009   -0.0067    0.4164   -0.0385   -1.5926
 1685.0   -0.6145    0.0292    0.2809   -0.3028   -0.2637    0.2265           0.0435   -0.0009   -0.0161    0.4028   -0.0293   -1.5665
 1690.0   -0.6084    0.0312    0.2845   -0.3235   -0.2644    0.3216           0.0438   -0.0009   -0.0246    0.3872   -0.0209   -1.5291
 1695.0   -0.6023    0.0333    0.2887   -0.3412   -0.2660    0.4077           0.0441   -0.0010   -0.0320    0.3703   -0.0133   -1.4834
 1700.0   -0.5961    0.0354    0.2935   -0.3562   -0.2683    0.4836           0.0444   -0.0010   -0.0384    0.3527   -0.0065   -1.4311
 1705.0   -0.5899    0.0376    0.2985   -0.3685   -0.2710    0.5491           0.0448   -0.0010   -0.0439    0.3348   -0.0006   -1.3750
 1710.0   -0.5837    0.0398    0.3037   -0.3783   -0.2739    0.6054           0.0451   -0.0011   -0.0484    0.3171    0.0045   -1.3157
 1715.0   -0.5774    0.0421    0.3088   -0.3861   -0.2771    0.6524           0.0455   -0.0011   -0.0521    0.2998    0.0087   -1.2557
 1720.0   -0.5710    0.0444    0.3139   -0.3921   -0.2802    0.6921           0.0459   -0.0011   -0.0550    0.2832    0.0123   -1.1959
 1725.0   -0.5646    0.0468    0.3187   -0.3965   -0.2834    0.7240           0.0464   -0.0011   -0.0573    0.2674    0.0152   -1.1368
 1730.0   -0.5581    0.0492    0.3234   -0.3996   -0.2864    0.7502           0.0469   -0.0011   -0.0590    0.2525    0.0175   -1.0797
 1735.0   -0.5517    0.0516    0.3279   -0.4017   -0.2894    0.7708           0.0474   -0.0011   -0.0601    0.2384    0.0192   -1.0238
 1740.0   -0.5451    0.0541    0.3320   -0.4029   -0.2921    0.7866           0.0479   -0.0011   -0.0609    0.2253    0.0206   -0.9707
 1745.0   -0.5385    0.0566    0.3359   -0.4034   -0.2946    0.7984           0.0485   -0.0011   -0.0613    0.2131    0.0216   -0.9193
 1750.0   -0.5318    0.0591    0.3396   -0.4034   -0.2970    0.8067           0.0491   -0.0011   -0.0614    0.2016    0.0222   -0.8708
 1755.0   -0.5252    0.0617    0.3430   -0.4029   -0.2991    0.8122           0.0498   -0.0011   -0.0612    0.1910    0.0225   -0.8246
 1760.0   -0.5185    0.0643    0.3461   -0.4021   -0.3011    0.8153           0.0506   -0.0010   -0.0608    0.1812    0.0226   -0.7810
 1765.0   -0.5118    0.0670    0.3490   -0.4011   -0.3028    0.8165           0.0514   -0.0010   -0.0602    0.1721    0.0224   -0.7391
 1770.0   -0.5050    0.0696    0.3517   -0.4000   -0.3044    0.8153           0.0522   -0.0009   -0.0595    0.1636    0.0221   -0.6995
 1775.0   -0.4982    0.0724    0.3541   -0.3986   -0.3057    0.8129           0.0531   -0.0008   -0.0586    0.1557    0.0216   -0.6621
 1780.0   -0.4914    0.0751    0.3564   -0.3972   -0.3069    0.8092           0.0541   -0.0008   -0.0576    0.1484    0.0210   -0.6265
 1785.0   -0.4845    0.0779    0.3585   -0.3959   -0.3079    0.8043           0.0552   -0.0007   -0.0566    0.1416    0.0202   -0.5926
 1790.0   -0.4777    0.0806    0.3604   -0.3944   -0.3088    0.7987           0.0563   -0.0006   -0.0554    0.1352    0.0194   -0.5604
 1795.0   -0.4708    0.0835    0.3621   -0.3930   -0.3094    0.7922           0.0575   -0.0004   -0.0542    0.1293    0.0185   -0.5298
 1800.0   -0.4639    0.0863    0.3637   -0.3917   -0.3100    0.7853           0.0588   -0.0003   -0.0529    0.1238    0.0175   -0.5007
 1805.0   -0.4571    0.0891    0.3651   -0.3904   -0.3104    0.7775           0.0602   -0.0002   -0.0516    0.1186    0.0164   -0.4728
