!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 0   10/ 7/19
!  WCM     S31  pE   S31  pM   S11  pE   S11  pM   S11  nE   S11  nM
 1970.0   -2.1544    0.0000    0.1887    0.0000    0.1271    0.0000           0.7175    0.0000    0.3850    0.0000   -0.2688    0.0000
 1975.0   -2.1217    0.0000    0.2083    0.0000    0.1424    0.0000           0.7084    0.0000    0.3685    0.0000   -0.2746    0.0000
 1980.0   -2.0957    0.0000    0.2247    0.0000    0.1567    0.0000           0.6915    0.0000    0.3526    0.0000   -0.2800    0.0000
 1985.0   -2.0676    0.0000    0.2393    0.0000    0.1701    0.0000           0.6799    0.0000    0.4001    0.0000   -0.2851    0.0000
 1990.0   -2.0401    0.0000    0.2544    0.0000    0.1825    0.0000           0.6640    0.0000    0.3631    0.0000   -0.2902    0.0000
 1995.0   -2.0169    0.0000    0.2698    0.0000    0.1938    0.0000           0.6432    0.0000    0.3783    0.0000   -0.2950    0.0000
 2000.0   -1.9872    0.0000    0.2924    0.0000    0.2039    0.0000           0.6285    0.0000    0.3575    0.0000   -0.2995    0.0000
 2005.0   -1.9585    0.0000    0.3166    0.0000    0.2130    0.0000           0.6162    0.0000    0.3851    0.0000   -0.3039    0.0000
 2010.0   -1.9301    0.0000    0.2908    0.0000    0.2207    0.0000           0.5990    0.0000    0.3565    0.0000   -0.3080    0.0000
 2015.0   -1.9062    0.0000    0.3433    0.0000    0.2273    0.0000           0.5882    0.0000    0.3433    0.0000   -0.3118    0.0000
 2020.0   -1.8801    0.0000    0.2728    0.0000    0.2326    0.0000           0.5693    0.0000    0.3817    0.0000   -0.3154    0.0000
 2025.0   -1.8505    0.0000    0.3614    0.0000    0.2365    0.0000           0.5601    0.0000    0.3791    0.0000   -0.3186    0.0000
 2030.0   -1.8256    0.0000    0.3267    0.0000    0.2390    0.0000           0.5390    0.0000    0.3412    0.0000   -0.3217    0.0000
 2035.0   -1.8055    0.0000    0.3214    0.0000    0.2400    0.0000           0.5205    0.0000    0.3713    0.0000   -0.3245    0.0000
 2040.0   -1.7786    0.0000    0.3440    0.0000    0.2395    0.0000           0.5118    0.0000    0.3590    0.0000   -0.3269    0.0000
 2045.0   -1.7530    0.0000    0.3967    0.0000    0.2375    0.0000           0.4951    0.0000    0.3376    0.0000   -0.3290    0.0000
