!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 2   10/ 7/19
!  WCM     D33  pE   D33  pM   D13  pE   D13  pM   D13  nE   D13  nM
 1715.0    1.6844   -0.2033   -1.2517   -0.7104   -0.1638    0.0909          -3.6169    1.0710    0.4073    0.3315   -0.6054   -0.2318
 1720.0    1.7877   -0.2152   -1.2424   -0.6974   -0.1798    0.0881          -3.4118    1.0445    0.3759    0.3163   -0.6035   -0.2284
 1725.0    1.8740   -0.2248   -1.2317   -0.6848   -0.1930    0.0854          -3.2106    1.0177    0.3438    0.3015   -0.6020   -0.2245
 1730.0    1.9457   -0.2322   -1.2248   -0.6727   -0.2039    0.0839          -3.0130    0.9907    0.3134    0.2874   -0.6009   -0.2209
 1735.0    2.0026   -0.2374   -1.2162   -0.6595   -0.2136    0.0821          -2.8201    0.9639    0.2827    0.2738   -0.6000   -0.2170
 1740.0    2.0476   -0.2407   -1.2050   -0.6482   -0.2199    0.0802          -2.6323    0.9376    0.2532    0.2608   -0.5991   -0.2132
 1745.0    2.0806   -0.2422   -1.1938   -0.6362   -0.2251    0.0785          -2.4518    0.9115    0.2237    0.2482   -0.5982   -0.2092
 1750.0    2.1021   -0.2420   -1.1840   -0.6228   -0.2291    0.0774          -2.2766    0.8862    0.1939    0.2359   -0.5973   -0.2050
 1755.0    2.1144   -0.2404   -1.1709   -0.6099   -0.2312    0.0758          -2.1097    0.8614    0.1662    0.2244   -0.5959   -0.2010
 1760.0    2.1180   -0.2374   -1.1594   -0.5995   -0.2306    0.0755          -1.9489    0.8374    0.1374    0.2129   -0.5947   -0.1966
 1765.0    2.1133   -0.2331   -1.1539   -0.5889   -0.2293    0.0769          -1.7951    0.8145    0.1106    0.2023   -0.5926   -0.1924
 1770.0    2.1020   -0.2278   -1.1385   -0.5764   -0.2271    0.0761          -1.6482    0.7923    0.0843    0.1920   -0.5903   -0.1881
 1775.0    2.0840   -0.2215   -1.1320   -0.5674   -0.2225    0.0783          -1.5079    0.7710    0.0571    0.1818   -0.5877   -0.1834
 1780.0    2.0611   -0.2144   -1.1205   -0.5573   -0.2176    0.0796          -1.3748    0.7506    0.0321    0.1725   -0.5846   -0.1790
 1785.0    2.0332   -0.2065   -1.1122   -0.5476   -0.2114    0.0821          -1.2480    0.7312    0.0058    0.1637   -0.5808   -0.1741
 1790.0    2.0012   -0.1984   -1.1006   -0.5364   -0.2048    0.0841          -1.1277    0.7125   -0.0157    0.1550   -0.5764   -0.1700
 1795.0    1.9656   -0.1894   -1.0852   -0.5239   -0.1976    0.0855          -1.0139    0.6949   -0.0420    0.1468   -0.5715   -0.1647
 1800.0    1.9268   -0.1802   -1.0741   -0.5129   -0.1895    0.0884          -0.9054    0.6784   -0.0623    0.1392   -0.5658   -0.1603
 1805.0    1.8844   -0.1706   -1.0597   -0.5066   -0.1790    0.0921          -0.8027    0.6624   -0.0846    0.1314   -0.5596   -0.1553
