!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 3   10/ 7/19
!  WCM     F37  pE   F37  pM   F17  pE   F17  pM   F17  nE   F17  nM
 1830.0   -0.1972    1.3310    0.1559   -0.1433   -0.1539    0.1166           0.0280    1.7975    0.0047    0.0032   -0.0047    0.0036
 1835.0   -0.1976    1.2882    0.1555   -0.1424   -0.1534    0.1151           0.0281    1.8704    0.0049    0.0033   -0.0048    0.0036
 1840.0   -0.1983    1.2385    0.1550   -0.1414   -0.1529    0.1136           0.0280    1.9410    0.0050    0.0034   -0.0049    0.0036
 1845.0   -0.1989    1.1827    0.1544   -0.1403   -0.1523    0.1119           0.0278    2.0092    0.0051    0.0036   -0.0050    0.0037
 1850.0   -0.1996    1.1202    0.1539   -0.1393   -0.1518    0.1104           0.0273    2.0737    0.0052    0.0037   -0.0051    0.0037
 1855.0   -0.2004    1.0519    0.1533   -0.1382   -0.1512    0.1087           0.0266    2.1330    0.0053    0.0038   -0.0052    0.0038
 1860.0   -0.2011    0.9769    0.1529   -0.1372   -0.1507    0.1071           0.0257    2.1879    0.0054    0.0039   -0.0054    0.0038
 1865.0   -0.2019    0.8972    0.1523   -0.1361   -0.1501    0.1054           0.0245    2.2360    0.0055    0.0040   -0.0055    0.0038
 1870.0   -0.2025    0.8127    0.1517   -0.1350   -0.1495    0.1037           0.0231    2.2769    0.0057    0.0041   -0.0056    0.0039
 1875.0   -0.2031    0.7247    0.1512   -0.1340   -0.1490    0.1021           0.0215    2.3103    0.0058    0.0043   -0.0057    0.0039
 1880.0   -0.2035    0.6343    0.1506   -0.1329   -0.1484    0.1004           0.0197    2.3358    0.0059    0.0044   -0.0058    0.0039
 1885.0   -0.2038    0.5418    0.1500   -0.1318   -0.1478    0.0986           0.0177    2.3532    0.0060    0.0045   -0.0059    0.0039
 1890.0   -0.2039    0.4493    0.1495   -0.1308   -0.1473    0.0969           0.0154    2.3607    0.0061    0.0047   -0.0060    0.0040
 1895.0   -0.2038    0.3566    0.1490   -0.1297   -0.1467    0.0952           0.0131    2.3610    0.0062    0.0048   -0.0061    0.0040
 1900.0   -0.2035    0.2660    0.1484   -0.1286   -0.1462    0.0934           0.0106    2.3523    0.0063    0.0049   -0.0062    0.0040
 1905.0   -0.2030    0.1782    0.1479   -0.1276   -0.1456    0.0917           0.0079    2.3354    0.0064    0.0051   -0.0063    0.0040
 1910.0   -0.2023    0.0936    0.1473   -0.1265   -0.1450    0.0899           0.0052    2.3118    0.0065    0.0052   -0.0064    0.0040
 1915.0   -0.2012    0.0138    0.1468   -0.1254   -0.1445    0.0881           0.0024    2.2800    0.0066    0.0054   -0.0065    0.0040
 1920.0   -0.2000   -0.0615    0.1463   -0.1243   -0.1439    0.0863          -0.0004    2.2436    0.0067    0.0055   -0.0066    0.0040
 1925.0   -0.1985   -0.1311    0.1457   -0.1232   -0.1434    0.0845          -0.0032    2.2013    0.0069    0.0057   -0.0067    0.0040
 1930.0   -0.1969   -0.1953    0.1451   -0.1222   -0.1428    0.0827          -0.0059    2.1556    0.0069    0.0058   -0.0068    0.0040
 1935.0   -0.1949   -0.2531    0.1446   -0.1211   -0.1422    0.0809          -0.0086    2.1054    0.0070    0.0060   -0.0069    0.0039
 1940.0   -0.1929   -0.3054    0.1440   -0.1200   -0.1417    0.0791          -0.0113    2.0521    0.0071    0.0061   -0.0070    0.0039
 1945.0   -0.1906   -0.3515    0.1435   -0.1189   -0.1411    0.0772          -0.0138    1.9979    0.0072    0.0063   -0.0071    0.0039
 1950.0   -0.1882   -0.3918    0.1429   -0.1178   -0.1405    0.0754          -0.0163    1.9418    0.0073    0.0065   -0.0072    0.0039
 1955.0   -0.1856   -0.4266    0.1424   -0.1168   -0.1400    0.0735          -0.0187    1.8855    0.0074    0.0066   -0.0073    0.0038
 1960.0   -0.1829   -0.4562    0.1418   -0.1157   -0.1394    0.0716          -0.0209    1.8287    0.0075    0.0068   -0.0074    0.0038
 1965.0   -0.1801   -0.4811    0.1413   -0.1146   -0.1388    0.0698          -0.0231    1.7720    0.0076    0.0070   -0.0075    0.0037
 1970.0   -0.1772   -0.5011    0.1407   -0.1135   -0.1383    0.0679          -0.0251    1.7161    0.0077    0.0071   -0.0075    0.0037
 1975.0   -0.1742   -0.5169    0.1402   -0.1125   -0.1377    0.0660          -0.0270    1.6611    0.0077    0.0073   -0.0076    0.0036
 1980.0   -0.1711   -0.5291    0.1396   -0.1114   -0.1371    0.0641          -0.0288    1.6072    0.0078    0.0075   -0.0077    0.0036
 1985.0   -0.1680   -0.5377    0.1391   -0.1103   -0.1366    0.0622          -0.0305    1.5550    0.0079    0.0077   -0.0078    0.0035
 1990.0   -0.1648   -0.5429    0.1385   -0.1092   -0.1360    0.0603          -0.0321    1.5040    0.0080    0.0078   -0.0078    0.0035
 1995.0   -0.1616   -0.5456    0.1379   -0.1082   -0.1354    0.0584          -0.0336    1.4547    0.0080    0.0080   -0.0079    0.0034
 2000.0   -0.1583   -0.5455    0.1374   -0.1071   -0.1349    0.0565          -0.0350    1.4071    0.0081    0.0082   -0.0079    0.0033
 2005.0   -0.1551   -0.5432    0.1368   -0.1061   -0.1343    0.0546          -0.0363    1.3609    0.0082    0.0084   -0.0080    0.0033
 2010.0   -0.1518   -0.5390    0.1363   -0.1050   -0.1337    0.0526          -0.0375    1.3165    0.0082    0.0086   -0.0081    0.0032
 2015.0   -0.1485   -0.5330    0.1357   -0.1040   -0.1332    0.0507          -0.0387    1.2737    0.0083    0.0088   -0.0081    0.0031
